,business_id,Class,votes.cool,votes.funny,stars,votes.useful,10 minutes,15 minutes,20 minutes,30 minutes,bar food,beer selection_x,best ve,bloody mary_x,bottle service_x,chicken waffles_x,customer service_x,dance floor,decided try,definitely come,definitely recommend,didn want,don know,don like,don think,don want,eggs benedict_x,fast food_x,feel like_x,felt like,fish chips_x,food amazing_x,food came,food delicious,food good_x,food great_x,food just,food service_x,french fries,french toast_x,friday night,fried chicken_x,friendly staff_x,good food_x,good place_x,good service_x,good thing,good time,great atmosphere_x,great experience,great food_x,great place_x,great service_x,great time,happy hour_x,hash browns,highly recommend_x,hip hop,ice cream_x,just like,just ok,just right,las vegas_x,late night_x,like place,little bit,long time,looked like,looks like,love place_x,mac cheese_x,make sure_x,mashed potatoes,medium rare,minutes later,new york,onion rings_x,place good_x,place great_x,place just,potato fries_x,pretty good_x,quality food,really enjoyed,really good_x,really like,really nice,recommend place,red velvet_x,right away,saturday night,second time,service excellent,service food_x,service friendly,service good_x,service great_x,staff friendly_x,super friendly_x,sweet potato_x,tasted like,time vegas,try place,ve seen,ve tried,wait staff,Reviews,likes,24 hours,amazing food,animal style,awesome food,awesome place,awesome service,beef hash,best breakfast,best burger,best burgers,best place,carne asada,cheese fries,come early,cool place,corned beef,delicious food,don come,don forget,excellent food,excellent service,fast service,favorite place,food awesome,food drinks,free wifi,friendly service,gluten free,great beer,great breakfast,great burgers,great customer,great drinks,great happy,great prices,great spot,great staff,grilled cheese,guest list,happy birthday,live music,long wait,love food,love love,new favorite,nice place,nom nom,open 24,place awesome,place eat,prime rib,slow service,staff great,steak eggs,velvet pancakes,worth wait,target
54,-MpQguYdVSzyJmrdNDebtw,service,2,1,27,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
57,-NOet8xJLGhX-eUzSIDc2Q,service,4,1,55,7,0,1,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23076923077
60,-PESvVv3rPQFAU1_cZ8_hw,service,1,1,26,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.88888888889
62,-PF0u3x21vsTjmHfEFRQhg,service,8,7,42,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
65,-PyniZNMQuB5u99nr6dYVw,service,1,1,38,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
79,-WZIxGXJHMGidZXRhKxP3w,service,2,5,30,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.28571428571
88,-ffo-JFhFj2kR6kZL4qYhg,service,10,6,117,21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,1,7,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,1,0,0,1,1,3,5,3,3,0,0,0,0,0,0,1,2,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03448275862
92,-gefwOTDqW9HWGDvWBPSMQ,service,23,16,94,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,1,2,1,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08695652174
95,-h-q6zTIdPlkz9BDP11sBg,service,41,26,251,70,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,9,0,0,5,1,2,3,14,0,1,0,1,0,0,0,0,3,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,2,0,0,0,0,1,0,7,10,0,6,14,0,2,0,0,0,0,0,0,8,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11475409836
102,-sC66z4SO3tR7nFCjfQwuQ,service,67,46,404,98,5,2,3,0,0,0,4,0,0,0,8,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,5,0,2,10,2,1,3,0,2,1,21,2,19,0,2,0,0,3,1,1,0,1,1,1,1,1,0,1,0,3,0,0,0,0,0,1,0,0,0,4,0,0,6,2,1,2,0,1,3,1,7,7,5,10,16,9,5,0,2,0,3,1,1,16,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4.04
108,-tD1nntnCk629fx3QgR-vQ,service,0,0,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33333333333
112,-u0m2QhmIUYJU22psWo46Q,service,7,3,50,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,4,1,2,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16666666667
118,-xLwGUmmyKgsTtFOOXzjeg,service,6,4,33,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.125
127,014pkZADThO2BoXFa1tuKg,service,3,1,13,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25
130,05fTEsjUPVo5jks8PpNKCQ,service,80,60,530,152,0,1,0,0,0,0,2,0,0,0,30,0,1,2,3,0,3,1,1,1,0,0,1,4,0,1,0,0,1,3,0,0,0,0,2,0,14,4,0,5,1,0,0,1,1,1,14,1,0,0,2,0,2,1,0,4,12,0,3,1,2,1,1,2,0,6,0,0,0,0,0,2,2,2,0,4,1,1,6,0,0,2,0,1,0,0,5,6,9,4,20,14,17,0,1,3,0,0,1,0,114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.64912280702
133,05tazaFQt1EnQ_Gk_1AFyg,service,12,12,164,27,3,1,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,2,1,1,0,1,14,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,1,0,0,2,0,0,3,0,0,1,0,0,0,0,4,4,1,2,7,4,1,0,1,1,0,0,0,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64444444444
136,07AyHxEKx-BTO_pKRLG4Iw,service,19,10,135,46,1,1,0,1,0,0,0,0,28,0,8,11,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,3,1,2,0,4,2,8,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,2,1,0,2,0,0,1,0,2,0,0,0,2,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29268292683
146,0GCpesRgXSVluFoB2otXlA,service,7,3,62,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.76923076923
149,0H7ewZ656xM0bulSMowWtQ,service,17,11,87,25,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,4,0,1,0,0,0,1,4,1,9,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,1,2,3,1,1,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14285714286
166,0WCRassoLOMUse_n3qUNbA,service,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
